Fon,French
Mɛɖé mɔ̀ nù jɛ̀ vì ɔ́ wú zɛ̀ tɔ́ ɔ́ wú ă,Nul ne connaît le fils sinon le père
"Un hɛ̀n nyiɖéé, má nyí mɔ̆ à ɔ́, na xó è","Je me suis retenu, sinon je le frappais."
Un na nu ahan vivi,Je boirai du sirop.
E ɖɔ̀ xó nú mí dó nunɔmɛ tɔn wú,Il m'a renseigné sur sa situation.
Azɔxɔ ayizɛn,Six classes.
Mi mɛ aizɛn,Nous sommes à six chez nous.
Sɔ zanzan gan ayizɛn mɛ,"Demain matin, à six heures."
Un ko ɖo xwe ko yi dibla wɛ ayizɛn cobɔ e wa gb’ada nu mi ɖo ɔ,J’avais déjà presque six ans quand on m’a circoncis.
Gàn wéwè mɔ̆ wɛ ɖò xixo wɛ̀ hwenɛ́nu,C’était environ la sixième heure.
E nɔ nu ahan mu ă,Il est sobre.
É nɔ́ sɛ ya mɛ ă,Il n’est pas sociable.
É víví hà ɖésú,C’est un homme très sociable.
Nɔvi ce nyɔnu kpɛvi ɔ ɖo Kutɔnu,Ma jeune soeur est allée à Cotonou.
Un na sɛ́ wèmá élɔ́ dó nɔ̀ví cé gbɔ̀n pósù,J'enverrai cette lettre à ma soeur par la poste.
É kú bò,Il est mort de soif.
"Ɛɛn, sinnugbla sin mi","Oui, j'ai soif."
Etɛ wutu kɔ ma hu we à ?,Pourquoi n’as-tu pas soif ?
Hwezivɔ wɛ zɔ́n bɔ̀ sinnu gblá sín mì,C’est la chaleur qui m’a donné soif.
Kɔ ɖò xúxú mí wὲ,J'ai soif.
Kɔ̀ xú mì,J’ai soif.
Kɔ xu mi à ?,Avez-vous soif ?
Kɔ xu mi ă,Je n’ai pas soif.
Kɔ xu mi tawun,Je meurs de soif.
Kɔ xu mi wɛ a ?,Avez-vous soif ?
Kɔ xu mi wɛ a ?,Avons-nous soif ?
Kɔ xu we à ?,As-tu soif ?
"Mɛ e ka ná nù sin è nyɛ ná ná ɛ́ ɔ́, kɔ sɔ́ ná xú ì gbeɖé ă",Qui boira de l’eau que je lui donnerai n’aura plus jamais soif.
"Nu kɔ xu i ɔ, ni nu bia","S’il a soif, qu’il boive une bière."
Sìn gblá mì,J’ai soif.
Sinbla sin we wɛ a ?,As-tu soif ?
Sinnu gblá sín mì,J’ai soif.
Un ɖɔ nu we ɖɔ kɔ kun xu mi o,Je te dis que je n’ai pas soif.
Un ɖɔ nu we ɖɔ kɔ xu mi,Je te dis que j’ai soif.
Vὲ xú mì,J'ai soif.
Ye ja bo ku gbe,Ils meurent de soif.
A gbɔ azɔn nu azinzɔnnɔ ɔ,Tu as soigné le malade.
Doto ɔ ɖo bo wli nu azizonnɔ tɔn lɛ wɛ,Le médecin soigne ses malades.
É bà xísíxísí bó dó gbɔ̀ taɖuɖu ná,Il a cherché du basilic pour soigner le mal de tête.
Gbɔ azɔn nu azinzɔnnɔ ɔ,Soigne le malade.
Kpé nukún wŭ tɔ̀n,Soigne-le.
Mi ɖo azɔ tɔn blo ɖo wɛ,On soigne son travail.
Mi nɔ wli bo nu wema mitɔn lɛ bo mi nɔ kplɔn nu ganji,Nous soignons notre cahier et nous apprenons nos leçons.
Nɔ ce nɔ gbɔ azɔn nu vi lɛ,Ma mère soigne les enfants.
Vi nɔ ɔ ɖo bo wli nu vi tɔn wɛ,La maman soigne ses enfants.
Blò n’í fέ wú,Fais cela soigneusement.
Vi mimɛ ɖo awu mimɛ lɛ,Les enfants soigneux ont des vêtements propres.
É hɛ̀n avɔ élɔ́ dó wŭ,Il a pris soin de ce pagne.
É kéya n’í keyikà,On a vraiment pris soin de lui.
E lébe nú mì,Il a pris soin de moi.
Kpé nukún wǔ cè,Prends soin de moi.
Wlĭ bo nú vì ɔ́,Prends soin de l’enfant.
Azinzɔnnɔ ɔ na mɔ nuti ɖu gbadanu elɔ a,Le malade n’aura rien à manger ce soir.
É ɖó ná wá gbadanu,Il doit venir ce soir.
E sù gbadanu,A ce soir.
E yi gbadanu,A ce soir.
Etɛ a ɖu hwelekɔ ?,Qu’as-tu mangé ce soir ?
Gbadanu elɔ,Ce soir.
"Mi kudo gbada, dáa","Salut pour le soir, papa."
Sɔ gbadanu kpowun w'ɛ́ wá,Il est arrivé seulement hier soir.
Sin zanzan wa yi gbadanu,Du matin au soir.
Un na yi xwlé agbònúxì,J’irai faire le marché du soir.
Un nɔ ɖu nu gbadanu lɛ bi,Je mange tous les soirs.
"Alo un na si, alo un na go sin xwe ɔ gbe","Soit je leur obéis, soit je m'en vais de la maison."
E na nyi mɛ elɔ alo mɛ ɖe ɔ,"C'est soit l'un, soit l'autre."
"Mi na bo ɖò nù ɖú wέ ó, mi na bo ɖò ahan nu wɛ ó","Soit que vous mangiez, soit que vous buviez."
"Alo a na wli alɔ, alo a na nɔ hwɛ dokponɔ","Soit tu te maries, soit tu restes célibataire !"
Ɖɔla wewe lo ?,Et soixante Francs (cinq x douze) ?
Kpɔwun we ɖɔla we,Soixante francs.
Nɔvi yetɔn ahwanyitɔ wɛ,Leur frère est soldat.
E nɔ nɔ̀ hwezivɔ́ nu ă,On ne reste pas au soleil.
E wá ɖò hwe ɖo xɔ yi wὲ,Il est venu au coucher du soleil.
"Hwenu ɖee hweyivɔ ɖo hɔ yi wɛ ɔ, mɛɖe lɛ mɔ ye nyɔnu vi kpɛvi de tɔn ɖo so ɖaxo ɔ ji cobɔ wa lɔn byɔ gbe ɔ mɛ","Lorsque le soleil fut sur le point de se coucher, certains virent une frêle silhouette de jeune fille se dessiner un instant sur le grand rocher solitaire avant de se jeter dans le vide."
Hwezivɔ ɖe à ?,Y a-t-il du soleil ?
Hwezivɔ ɖe ă,Il n'y a pas de soleil.
Hwezivɔ kɔ́n,Le soleil brille.
Hwezivɔ nɔ dó yà nú wé wɛ́ à ?,Est-ce que le soleil te dérange ?
Mì nà ɖìɖó ɖò hwe ɖò tíntɔ́n wὲ,Nous partirons au lever du soleil.
Sun kpodo hwezivɔ kpo,La lune et le soleil.
Sùn wlí hwè,Il y a éclipse de soleil.
Jonatán zun xɔ́ntɔn xá Davídì,Jonathan fit solennellement un pacte d’amitié avec David.
Avɔ élɔ́ dɛ̀,Ce pagne est solide.
Avɔ élɔ́ dɛ̀kàn,Ce pagne est solide.
Avɔ towe dɛ kàn,Ton pagne est solide.
Avɔ towe syɛ́n kàn,Ton pagne est solide.
Azinkpo ɔ syɛn,Le meuble est solide.
Dò ɔ̀ syέn,Le mur est solide.
Do syɛnsyɛn,Un mur solide.
E ló dŏ,Il est solide (homme).
É bl’ɛ́ téwúntéwún,Il l’a attaché solidement.
Hɛn mi ɖo tè syɛ́nsyɛ́n,Tiens-moi solidement.
Xwé lĭ,La maison est solidement établie.
E nɔ́ nɔ̀ é ɖókpónɔ́,Il est solitaire.
É nɔ́ nɔ̀ mɛɖe jɔ́nú ă,C’est un solitaire.
Gbɛtɔ́ ká sixú nɔ̀ gbɛ̀ éɖóɖó à ?,L’homme n’est pas fait pour vivre solitaire.
É kpo ta,Il n’a été sollicité par personne.
Un ɖò nù élɔ́ sín wè bá wɛ̀,Je suis en train d’en chercher la solution.
Un ɖò wè tɔ́n bá wɛ̀,J’en cherche la solution.
Un ɖò wè tɔ́n bá wὲ,Je suis en train d'en chercher la solution.
Wlɛnwin ɖevo ɖo na ɖe,Il doit y avoir une autre solution.
Ablù do,Il fait sombre.
É wi viì,Il fait noir sombre.
Gbɛ ɔ mɛ́ cí viì,Le temps est sombre.
Gbɛmɛ cí kpitiì,Le temps est sombre.
Gbɛmɛ d’áblù,Le temps est sombre.
Gbɛmɛ hɔ́n ă,Le temps est sombre.
Jĭ wú bó sɛ́ alà ayĭ,Il fait très sombre.
Jìnúkúnsún dó zìnflú,Le ciel est sombre.
Jìnúkúnsún xo akpitì,Le ciel est sombre.
Zìnflú dó,Il fait sombre.
Zìnflú dó ɖò xɔ towe mὲ,Il fait sombre chez toi.
Zìnflú dó gɔɔn dín,La nuit est très sombre.
Amlɔ ɖo sisa mi wɛ,J’ai sommeil.
Amlɔgɔ́ ɖò mi sin wɛ̀,Vous avez sommeil.
Amlɔgɔ́ ɖo sinsin mi wɛ̀,J’ai sommeil.
Amlɔgɔ́ nɔ́ sín mì,J'ai sommeil.
Un ɖò amlɔgɔ́ sa wɛ̀,Le sommeil me prend.
E ɖò atín ɔ́ ɖaví nu,Il est au sommet de l'arbre.
Ye ja so ɔ sin aga bi,Ils arrivent au sommet de la colline.
Awii tɔn,Son chat.
É lɛ́ yí wèmá tɔ́n sín así cè,Il m’a repris son livre.
Un sè hŭn gbè,J’ai entendu le son du tam-tam.
Vi etɔn,Son enfant.
Vi eyɛtɔn wɛ,C'est son enfant.
Vi tɔn,Son enfant.
Vi tɔn wɛ,C'est son enfant.
Măwŭ xò dlɔ́ yĕ,Dieu les avertit en songe.
"Nŭ nɛ ɔ lin kpɔ́n wɛ é ɖè, bɔ wɛnsagun Aklunɔ tɔn wá xò dlɔ̆ ɛ","Alors qu'il avait formé ce dessein, voici que l'Ange du Seigneur lui apparut en songe."
Tɔ́gbó ce xò dlɔ̆ mì,Mon grand père m’est apparu en songe.
É xo an b’ɛ́ ɖɔ̀ kíwúngowùn,Il a sonné et cela a fait kiwungowun.
Gan lɛ́ jɛ̀ nù ɖɔ́ jí,Les cloches se mirent à sonner.
Gàn xò,L’heure a sonné.
Gan xò,La cloche a sonné.
Mi ɖo nu sɔ wɛ hwenuɖe hɔn ɖo nu ɔ,Nous étions en train de nous préparer quand on a sonné à la porte.
Yĕ ɖò han ji wɛ̀ lélé,Ils chantaient d’une voix sonore.
E jlɛ́ mí dó azètɔ́ wú,Il m'a comparé à un sorcier.
É cɛ́ kpé nɔví tɔ̀n,Il a jeté un sort à son frère.
Vì élɔ́ ɖò gbɛví hán dó wɛ̀,Cet enfant n’est pas content de son sort.
É ɖò avɔ tɛnmɛ tɛnmɛ sa wὲ,Il vend des étoffes de toutes sortes.
E nɔ́ gú bŏ tɛnmɛ tɛnmɛ lɛ́ bó nɔ́ sɔ́ dó akpo mɛ̀,Il prépare des gris-gris de toutes sortes et les met en poche.
Mɛ nàhún ba wɛ a ɖè ?,Quelles sortes de personnes cherches-tu ?
Mɛ nàhún ?,Quelle sorte de personne ?
Sinmɛ alɔkpalɔkpà,Couleurs de toutes sortes.
"E tɔn sin azin ɖevo mɛ, un wɔn ă","Elle est sortie d'un autre oeuf, je ne l'ai pas oublié."
Nɔ mitɔn tɔ́n,Votre mère est sortie.
Aní gbé a tɔ́n ?,Pourquoi es-tu sorti ?
Azɔ nɔ tɔ́n síí síí,De la fumée sort très très légèrement.
Bo yi,Sors de là.
É ján ali ɔ́ nu,Il n’arrive pas à sortir par le passage.
E ka wá tɔ́n,Il sortit.
E nɔ tɔ́n hwezivɔ́ mɛ̀ ă,On ne sort pas sous le soleil.
E tɔ́n sín tɔ̀ ɔ mɛ,Il sortit de l'eau.
É yi gle gbè,Il est sorti.
É zɛ hwɛ̀,Il est sorti.
"Egbe ɔ, e ka tɔn ma ze katawunbya tɔn","Or, ce jour-là, il était sorti sans son parapluie."
Etɛ́ gbé a tɔ́n bó wá ?,Pourquoi es-tu sorti et venu ?
Gbadé ɖò kun tɔ́n wὲ,Le maïs sort de terre.
Go sín fí,Sors d’ici.
Hwɛ zɛ wɛ a ɖe à ?,Tu sors ?
"Lazáà, wă hɛnkɛ́n","Lazare, sors."
Mĭ ɖo ná tɔn wɛ,Nous sommes sur le point de sortir.
N’abɔ̀ɛ bó tɔ́n sín dawe élɔ́ lánmɛ̀,Tais-toi et sors de cet homme.
Simpson nɔ tɔn kpodo Ferguson kpo,Monsieur Simpson sort avec Mademoiselle Ferguson.
Tɔ wɛ́ é ká tɔ́n à ?,Est-ce qu’il est sorti ?
Tɔ́n sín fí,Sors d’ici.
Tintɔn un ɖe,C’est que je suis en train de sortir.
Tíntɔ́n wɛ a ɖe à ?,Tu sors ?
Tintɔn wɛ un ɖe,C’est que je suis en train de sortir.
Un ɖi ɖɔ̀ é tɔ́n,Je crois qu’il est sorti.
Un ɖo tintɔn wɛ bo na yi xɔ xɔjlawema,Je sors pour acheter un journal.
"Un wá, loɔ́ é kó tɔ́n","Je suis venu, mais il était sorti."
Un yì fí ɖĕ ă,Je ne suis pas sorti.
Wooó tɔ́n,L’harmattan est sorti.
Ee é ɖɔ̀ xó vɔ́ ɔ́ é tɔ́n,"Lorsqu'il eut fini de parler, il sortit."
A jɔ lɛ̀n,Tu es sot.
A lŭ wὲ hŭn !,Es-tu sot !
E gú bó cɔ̀n,Il est trop sot.
É lú nŭ,Il est sot.
Nù gùgú nɛ́ a wa nɛ́,Tu as fait une sottise.
Hὲnnúmɔ́ cé wὲ,Nous sommes de la même souche.
Adi ci mì,J’ai des soucis.
Adi hu mì,J’ai des soucis.
Akpɔ ci mì,J’ai des soucis.
Akpɔ hu mì,J’ai des soucis.
"Égbé tɔ́n kó wá yí nɛ́, é kpò sɔ tɔ̀n","Les soucis d’aujourd’hui sont passés, il reste ceux de demain."
Ma lin kpɔ́n ó,Ne te fais pas de souci.
Nǔ gègé wɛ́ d’ádɔ̀ vɛ́ n’í,Il a beaucoup de soucis.
Nukún myá έ dó tέnkpɔ́n tɔ́n wú,Il se fait du souci pour son examen.
Tagba flá dó mì,J’ai trop de soucis.
E kéya nú xó ɔ́,Il s'est soucié de l'affaire.
E nɔ́ kéya ná ă,Il ne s’en soucie pas.
É vɛ́ adɔ̆ mì ă,Je ne m’en soucie pas.
Ma kéya ná ó,Ne t'en soucie pas.
Ma n’í vέ adɔ̀ wè ó,Ne t'en soucie pas.
É sí nù jéwún,Il a sursauté soudain.
E sí nù jéwún,Il a tressailli soudain.
É tɔ́n dó jĭ cè,Il est apparu soudain devant moi.
"Eé yè mɔ́ ɔ̀ ɛ̀ b’ɛ́ síte vawun bo tɔ́n ɔ́, yè xwé dó è","Ils la virent se lever soudain pour sortir, ils le suivirent."
E sú gannú tɔ́n kpód'aflémú kpán,Il a soudé son plat de métal avec de l'étain.
Agbɔ̀n kpé mì,Je suis à bout de souffle.
Gbɛmɛ nylɔ́ jɔ̀,Il n’y a pas un souffle d’air.
Dŏ funfún myɔ ɔ́,Souffle sur le feu.
É fún funfún dó jĭ cè,Il a soufflé sur moi.
E hínhán takín,Il a soufflé après avoir mangé du piment très fort.
É kɛ nu ă,Il n’a soufflé mot.
Jɔhɔn ɖò nyinyi wɛ̀,Le vent souffle.
Jɔhɔn ɖò nyinyi wɛ dín,Le vent souffle très fort.
Jɔhɔn gugu ɖé nyì égbé zăn mɛ̀,Un très grand vent a soufflé cette nuit.
Jɔhɔn gugu wɛ ɖò nyinyi wɛ̀,Le grand vent est en train de souffler.
Jɔhɔn nɔ nyi nú atínsú nɔ́ dán ɖo gotò ă,"Le vent a beau souffler, le tronc des gros arbres ne bouge pas."
Jɔhɔn nyì vuzuvuzù,Le vent a soufflé avec fracas.
Jɔhɔn nyì vuzuvuzù,Le vent a soufflé avec violence.
Johɔn kpo ɖo nyinyi wɛ,Le vent continue à souffler.
Wooó gbɛ́,L’harmattan souffle fort.
"Enyí mɛɖe xò tómɛ̀ ɖisíxwé tɔ́n nú wè hŭn, lilɛ́ ɖè ɔ́ n’í","Si quelqu’un te donne un soufflet sur la joue droite, tends-lui encore l’autre."
A ná jó hwiɖéé dó nú yà wɛ̀ à ?,Tu vas te résigner et te laisser aller à la souffrance ?
A ná mɔ̀ awajíjɛ́ sɔ́ ɖò yajiji towe mɛ̀,Tu découvriras la joie au sein même de ta souffrance.
Dosu jì kú yà gègé,Dossu a éprouvé beaucoup de souffrance devant la mort.
"Wùvɛ́ ée mɔ wɛ̀ mì ɖé ɔ́, jɔhɔn gbɔn mɛ̀",La souffrance que nous subissons s’est apaisée.
Ani ka ɖò nù wà xá wé wὲ ?,De quoi souffres-tu ?
Bɔ e ɖo ya nu mɛ lɛ,Et ça fait souffrir les gens.
E ɖò mɔ̀ có é jì yà dó mì támɛ̀,"Et pourtant, il souffre pour nous."
É ɖò wùvɛ́ ɖú wɛ́ tlálá,Il souffre beaucoup.
E ɖò yà dó n’í wὲ,Il le fait souffrir.
Hwezivɔ́ wέ ɖò nù wá xá mí wὲ,C'est le paludisme qui me fait souffrir.
Hwezivɔ́ wέ ɖò ya dó nú mí wὲ,C'est le paludisme qui me fait souffrir.
Hwezivɔ́ wέ ɖò ya dó nú mí wὲ,Je souffre du paludisme.
Mi ná jìyà ɖò gbɛ ɔ́ mɛ̀,Vous aurez à souffrir dans le monde.
Nɛgbe tɔn ɖo ya do n'ɛ wɛ,Son dos le fait souffrir.
Ta nɔ fɛ́n mì,Je souffre habituellement de forts maux de tête.
É ɖɔ̀ dandan nŭ zògbàdé ă,Le maïs de zô ne produit pas toujours à souhait.
Xwe ɖokpó hwà ɖokpó,Souhait de longue vie lors d’un anniversaire.
"Ðɛ tɛ́ lɛ́ wɛ̀, e nɔ xo nú mɛɖéé ɖò azàn énɛ́ ɔ́ lɛ́ gbè ?","Ces jours-là, qu’est-ce que les gens se souhaitent ?"
Măwù ní sé xá mì,Je le souhaite.
É và babá,Il s’est souillé de boue.
Heelú !,Ah ! Quel soulagement !
"Hwenɛ́nú ɔ́, lindɔn mitɔn ná vò",Et vous trouverez le soulagement pour vos âmes.
É n’ágbɔ̆n ɛ̀,Cela l’a soulagé.
E ná fífá ὲ,Cela l'a soulagé.
Mi na mɔ vivo ɖo atinkɛn lɛ wu,On sera soulagé par les médicaments.
Afúntúntún dɛɛ̀n,La poussière s’est soulevée.
É dó vì xó sìn,Il a soulevé l’affaire de l’enfant.
Nù é jɛ̀ din ɔ zɔ bɔ̀ to ɔ́ bì ɖónyà,Cet événement a soulevé tout le pays.
Un gbɛ́ bó tɛ afɔ jí,J’ai refusé et j’ai souligné mon refus en tapant du pied par terre.
E syɔ́ lyŏ,Elle a préparé du lyo en soumettant du gi à une deuxième cuisson.
Gbɛtɔwikukɔn alo ya do nu mɛ kpodo adakacomɛwu kpo sɔ ɖo na ɖe ă,"Nul ne sera soumis à la torture, ni à des peines ou traitements cruels, inhumains ou dégradants."
Un sè xó ɖé dó wŭ tɔ̀n ă,Je n'ai aucun soupçon à son égard.
E ɖò nù vέ dó Kɔsí wὲ,On soupçonne Kossi.
"E vɛ a nu do ɛ ɖo, e ɖo finɛ","Puisqu'il était là, on l'a soupçonné."
E vɛ̀ ajo dó è,On le soupçonne de vol.
E vɛ̀ nù dó Kɔsí,On soupçonne Kossi.
Un vɛ̀ àjò dó è,Je l'ai soupçonné de vol.
Un vɛ̀ àjò dó mɛ,J’ai soupçonné quelqu’un de vol.
Wùtú tɔ́n bɔ̀,Son corps est souple.
E gɔ́n wɛ̀ gbɛnyɔ́ná bì nɔ́ gósín,C’est lui la source du bonheur.
Hwi wú wɛ̀ gbɛ ɔ́ wú kun sín,Tu es source de vie.
"Nú a xa yɛhwe gudo ɔ́, mì ná yí tɔnu","Après que tu auras prié, nous irons à la source."
É nɔ́ sè tó nú ă,Il est sourd.
É nɔ́ se tónú ă,Il est sourd.
Gbe towe xlá,Ta voix est sourde.
"Xó é ɖɔ un ɖe ɔ́, ma dó tókúsé mɛ́ ó",Ne fais pas le sourd à ce que je dis.
Azinzɔnnɔ ɔ hɛn nukiko,Le malade garde le sourire.
É ɖò nù kó wɛ́ nyɛ́wún nyɛ́wún,Il sourit.
E kò nù dó nu’kpá,Il a souri.
Etɛ wutu e na ko nu ɖe ?,Pourquoi lui sourire ?
Kò nŭ kpɛɖé,Souris un peu.
"Trolo ɖee e mɔ mi ɔ, e ko nu","Dès qu'il m'a vu, il m'a souri."
A na nɔ ɛ kɔ̀n,Cela restera sous ta responsabilité.
Ajaka lɛ nɔ nɔ kɔ glɔɛ,Les rats vivent sous la terre.
Atín ɔ́ sá ɖò ɖɛ,"Sous l’arbre, il y a un grand ombrage."
Cavi ɔ ɖo zan ɔ gwlɛ,La clé est sous la natte.
Ɖɛ̀glɔ́ cé d’ákpà,J’ai une plaie sous la langue.
Ɖo atin sa,Sous un arbre.
Ɖo avɔ gwele,Sous la couverture.
E ɖò atín ɔ gwlɛ,Il est sous l’arbre.
E ɖò atín'sá,Il est sous l'arbre.
É ɖò távo ɔ́ glɔ́,Il est sous la table.
E nɔ nɔ̀ jĭ gbè ă,On ne reste pas sous la pluie.
Folo vi ɖagbe ɖagbe ɖe lɛ hwla ɖo atin lɛ sin ama gwlɛ,Sous les feuilles des arbres se cachent de petites fleurs.
Gbɔ̀n nŭ gègè'líxò,Sous beaucoup de rapports.
Jikpamɛ ɔ ɖo sin gwle,Le jardin était sous l’eau.
Kplé yè ɖó azava'sá fínɛ́,Réunis-les sous l'apatam.
Sɔ́ ɛ́ ɖó távo ɔ glɔ́,Mets-le sous la table.
Sɛ̀ yè kplé ɖó azava'sá fínɛ́,Réunis-les sous l'apatam.
Un ɖo maga xɛlu kpɛvi ɖu wɛ kpodo jivi ɖiɖa kpo ɖo atin sa,Je mange une petite mangue verte avec un couteau tranchant sous un arbre.
Un ɖo to lɛ wɛ ɖo sin glɔɛ,Je nage sous l'eau.
Vi ɔ ɖo zan ɔ gwlɛ,L’enfant est sous le lit.
Xojlawema ɖo awa mɛ,Un journal sous le bras.
Xu gwlɛ,Sous la mer.
É bú nyĭ bĭ,On ne se souvient plus de lui.
E flin n'i,Elle se souvient de lui.
E gán dò ɔ́,Il a soutenu le mur.
E gán gàn ɔ́,Il a soutenu le chef.
"É kó kú, loɔ́, e nɔ flín ì ayanuɖé","Il est mort, mais on se souvient de lui de temps à autre."
E nɔ́ flín ì,Il se souvient de lui.
Flín mì,Souviens-toi de moi.
Gan e nɔ gan ɛ,Il faut qu'il soit soutenu.
Mi flin ɖɔ Kɔku hwla Asiba sin gbɔ,Nous nous souvenons que Koku a caché la chèvre d’Asiba.
Un sɔ flín ă,Je ne m’en souviens plus.
E jὲ glŏlŏ mὲ,Il est sans soutien.
Gbɛ ce jɛ̀ àgbàgbáɖá,Je suis sans soutien.
Nɔcyɔ́vì élɔ́ nɔ sa xwexwe,Cet orphelin est sans soutien.
É ɖè kwɛ́ ɖò kwɛ́ mɛ̀ bó dŏ jlɔ́ kwɛ́ ɖĕvo ɖó,Il a soutiré de l’argent d’une somme pour compléter une autre.
Mi nɔ wà mɔ̆ bó ná dó flín mí ná,Faites ainsi pour vous souvenir de moi.
To mɛ cɛ nú wé à ?,Gardes-tu un bon souvenir de ce pays ?
Afɔ towe kpítí,Tu viens trop souvent.
Amɔ e nɔ tagba blewun blewun,Mais elle a souvent des problèmes.
Nyaví nɛ́ ɔ́ nɔ́ sà xwexwè,Ce garçon se tient souvent à l'écart.
Ye nɔ ya wu jɛ azɔn,Ils souffraient souvent de maladies.
Ali è ɖò wɛn bó gbló ɔ́ wɛ́ nɔ kplá mɛ yi bú,Ce sont les voies larges et spacieuses qui conduisent à la perdition.
É ɖò vò,C’est spécial.
Nukplɔnkplɔn vo,Une leçon spéciale.
Pipan vo,Un train spécial.
Vo w’ɛ ɖè,C'est spécial.
Hwi wú wὲ un blo élɔ́,J'ai fait cela spécialement pour toi.
Ma na hɛn vlɛ ɔ na bɛ,Le spectacle va commencer.
E vivi nu nukpɔntɔ lɛ bo ye xo alɔ nu nujlɛtɔ lɛ ɖo xɔ ɔ mɛ,Les spectateurs étaient si contents qu'ils ont applaudi les acteurs au milieu de la pièce.
"Vì élɔ́ ɔ́, tɔ́nnúhwecí wɛ̀","Cette jeune fille, c’est une splendeur."
Gbɛɔmɛ nyɔ,Il fait un temps splendide.
E wá é ɖóɖónɔ́,Il est venu spontanément.
Lanmɛ yí ayihún,Je suis en forme pour faire du sport.
Xúglòxú kɛ́ɖɛ́ w’ɛ́ ɖó,C’est un vrai squelette.
Xúglòxú tɔ́n dó jĭ tɔ̀n,Un squelette lui apparut.
É xú gò bó cí kácákácá,Il est maigre et tout squelettique.
Vì élɔ́ ɖó gòvíkácwé,Cet enfant est squelettique.
Vì élɔ́ ɖó xú gláógláó,Cet enfant est squelettique.
E hɛn atinkpikpa kpikpɛn ɖokpo ɖo alɔ tɔn lɛ mɛ,Il tenait une lourde statuette dans les mains.
Ayikungban kpikpo,Une terre stérile.
É zùn ajì,Elle est stérile.
Gle kpikpo,Un champ stérile.
Un ɖò mɛ’sí,Je suis un subalterne.
É ná sún sín tɔ̀n,Il en subira la sanction.
É kú fyán mì,Sa mort subite m’a surpris.
É bú vlíwún bɔ̀ un sɔ́ mɔ́ ɛ̀ ă,Il a disparu subitement et je ne l’ai plus revu.
É kú xwɛ́wún,Il est mort subitement.
Fófó cé kú ajijì,Mon grand frère est mort subitement.
Gbɛtɔ́ ɖokpó sìxú mɔ̀ nù é húdó é lɛ́ bì à ?,Une seule personne peut-elle subvenir à tous ses besoins ?
Kɔsi wɛ́ ɖyɔ́ ɛ̀,C’est Kossi qui lui succède.
Kɔsí wέ jɛ tɛn tɔn mὲ,C'est Kossi qui lui succède.
"Akwɛ́, vĭ, asú, asì, lanmɛ ɖagbe, nukɔnyiyi ɖò nù lɛ́ mɛ̀ kɔ́n nɔ́ ná mĭ nyɔná nú tɛgbɛ à ?","L'argent, l'enfant, la femme, le mari, la santé, le succès nous rendent-ils vraiment heureux et pour toujours ?"
Dĭn è a dìn é ɔ́ hun xomɛ nú mì,Je me réjouis de ton succès à l'examen.
É gló nŭ,Il s’est dégagé avec succès de l’affaire.
E kpà mĭ,C'est un succès.
Mɛ e jὲ tɛn ce mɛ ɔ́ wὲ,C'est mon successeur.
Mὲ wέ jὲ tɛn towe mὲ ?,Qui est ton successeur ?
E gbíngbɔ́n yovózɛn,Il a sucé une orange.
"Vi lɛ ɖo ""bonbon"" gbigbɔn wɛ",Les enfants sucent des bonbons.
Maga ɔ atinsinsɛn vivi wɛ,La mangue est un fruit sucré.
Sukle ɔ ɖo hun mɛ,Le sucre est dans la voiture.
A dó súklé mέ à ?,As-tu sucré ?
Tii elɔ vivi hu,Ce thé est plus sucré.
Fítέ a go sín kpó dὲn kpó mɔ̆ ?,D'où viens-tu ainsi tout suant ?
Nɛ̌ gbɔ̀n a ɖo wezun jí dɛ̌nkɔxɛ́ ?,Pourquoi cours-tu à être tout en sueur ?
A lin ɖɔ̀ nùɖúɖú ɔ́ ná kpé mɛ bĭ à ?,As-tu pensé que la nourriture suffira pour tous ?
É gblá nu mɛ nú mì,Cela ne me suffit pas.
E kpé ă,Cela ne suffit pas.
E kpé mɔ̆,Cela suffit comme ça.
E kpé mì,Cela me suffit.
"É kpé wé à ? - Ɛɛn, é kpé kpò","Est-ce que cela te suffit ? - Oui, il en reste."
É nyɔ́ nú mì,Cela me suffit.
E sù mɔ̆,Ca suffit comme ça.
Enέ ɔ́ kέɖέ kpé ă,Cela ne suffit pas.
Gbocɔtɔ ɖokpo kpe wu bo na cɔ ye mɛ gege,Un seul gardien suffit pour en conduire plusieurs.
Un gɔ́ xò ă,Cela ne me suffit pas.
Un ko tuwun fɔngbe kpíkpé ă,Je ne connais pas le fon suffisamment.
Un na n’ɛ́ káfláká tɔ̀n,Je lui donnerai suffisamment.
Vì ɔ̀ kó ɖì ă,L'enfant n'est pas suffisamment développé.
E kpé ă,"Ce n’est pas suffisant, encore !"
É kpé kɔ nú mì,Cela me suffoque.
